tau_in,q,dq,ddq,tauEst,q_raw,dq_raw,ddq_raw,temp
0,-1.12958,0.0592376,0,-0.0351562,0,0,0,39
0,-1.12958,0.00600962,0,-0.246094,0,0,0,39
0,-1.12963,-0.134787,0,0,0,0,0,40
0,-1.12958,0.127919,0,0,0,0,0,40
0,-1.12958,0.0291896,0,-0.0703125,0,0,0,40
0,-1.12958,0.00429258,0,0,0,0,0,40
0,-1.12963,-0.076408,0,-0.140625,0,0,0,40
0,-1.12958,0.0849931,0,-0.105469,0,0,0,40
0,-1.12963,-0.0197459,0,0,0,0,0,40
0,-1.12963,-0.116758,0,0,0,0,0,40
0,-1.12958,0.0437843,0,0,0,0,0,39
0,-1.12963,-0.119334,0,0.0351562,0,0,0,40
0,-1.12958,0.112466,0,-0.105469,0,0,0,40
0,-1.12963,-0.0120192,0,0.105469,0,0,0,40
0,-1.12958,0.0961538,0,0.140625,0,0,0,39
0,-1.12963,-0.0300481,0,0,0,0,0,39
0,-1.12963,-0.0274725,0,0.140625,0,0,0,40
0,-1.12958,0.0326236,0,0,0,0,0,40
0,-1.12958,0.0867102,0,0.105469,0,0,0,40
0,-1.12958,0.0274725,0,-0.0351562,0,0,0,40
0,-1.12958,0.0978709,0,-0.0703125,0,0,0,40
0,-1.12958,0.0746909,0,0.0351562,0,0,0,40
0,-1.12958,0.109032,0,0,0,0,0,40
0,-1.12958,0.0257555,0,0.210938,0,0,0,40
0,-1.12963,-0.0712569,0,0,0,0,0,40
0,-1.12958,0.0506525,0,-0.175781,0,0,0,40
0,-1.12963,0.0145948,0,0.0351562,0,0,0,39
0,-1.12963,-0.102163,0,0.0703125,0,0,0,39
0,-1.12958,0.128777,0,0,0,0,0,40
0,-1.12958,0.026614,0,0,0,0,0,40
0,-1.12963,-0.0918613,0,0.105469,0,0,0,40
0,-1.12963,-0.139938,0,0.0703125,0,0,0,40
0,-1.12963,-0.0772665,0,-0.0703125,0,0,0,40
0,-1.12963,-0.120192,0,-0.140625,0,0,0,40
0,-1.12958,0.028331,0,-0.0351562,0,0,0,40
0,-1.12963,-0.0111607,0,-0.140625,0,0,0,40
0,-1.12963,-0.0746909,0,-0.140625,0,0,0,40
0,-1.12963,-0.139938,0,0.0351562,0,0,0,39
0,-1.12963,-0.0394918,0,0,0,0,0,40
0,-1.12958,0.079842,0,0,0,0,0,40
0,-1.12958,0.101305,0,0,0,0,0,40
0,-1.12958,0.10989,0,-0.0351562,0,0,0,40
0,-1.12958,0.0695398,0,0.105469,0,0,0,40
0,-1.12958,0.0394918,0,0,0,0,0,40
0,-1.12963,-0.0309066,0,-0.175781,0,0,0,40
0,-1.12963,-0.0738324,0,0,0,0,0,40
0,-1.12958,0.0429258,0,-0.0703125,0,0,0,40
0,-1.12963,-0.024897,0,0.0703125,0,0,0,40
0,-1.12963,-0.00772665,0,0,0,0,0,40
0,-1.12963,-0.0849931,0,0.0351562,0,0,0,40
0,-1.12963,-0.0970124,0,0.0703125,0,0,0,40
0,-1.12958,0.051511,0,-0.0351562,0,0,0,40
0,-1.12963,-0.0214629,0,-0.0703125,0,0,0,40
0,-1.12958,0.0995879,0,-0.0703125,0,0,0,40
0,-1.12963,-0.10989,0,0.175781,0,0,0,39
0,-1.12963,-0.0910027,0,-0.0351562,0,0,0,39
0,-1.12963,-0.0832761,0,0,0,0,0,39
0,-1.12963,0.0429258,0,0.0351562,0,0,0,40
0,-1.12958,0.079842,0,0,0,0,0,40
0,-1.12958,0.0927198,0,0,0,0,0,40
0,-1.12963,-0.0987294,0,0,0,0,0,40
0,-1.12963,-0.0137363,0,0.140625,0,0,0,40
0,-1.12963,-0.0703984,0,0,0,0,0,40
0,-1.12963,0.0738324,0,0.0351562,0,0,0,40
0,-1.12963,-0.0678228,0,0.105469,0,0,0,40
0,-1.12958,0.0575206,0,0.246094,0,0,0,40
0,-1.12958,0.0944368,0,0,0,0,0,40
0,-1.12958,0.00944368,0,0,0,0,0,39
0,-1.12963,-0.0051511,0,0.140625,0,0,0,39
0,-1.12963,-0.0643887,0,0.0703125,0,0,0,40
0,-1.12958,0.101305,0,-0.0351562,0,0,0,40
0,-1.12958,0.026614,0,0.0351562,0,0,0,40
0,-1.12963,-0.0549451,0,0.0351562,0,0,0,40
0,-1.12958,0.129636,0,-0.210938,0,0,0,40
0,-1.12963,-0.0678228,0,-0.210938,0,0,0,40
0,-1.12963,-0.0154533,0,0,0,0,0,40
0,-1.12963,-0.0403503,0,-0.0351562,0,0,0,39
0,-1.12963,-0.0257555,0,-0.0351562,0,0,0,39
0,-1.12958,0.0935783,0,0,0,0,0,40
0,-1.12958,0.0661058,0,0,0,0,0,39
0,-1.12963,-0.131353,0,0,0,0,0,39
0,-1.12963,-0.0257555,0,-0.0351562,0,0,0,40
0,-1.12963,-0.0412088,0,0.105469,0,0,0,39
0,-1.12963,-0.0583791,0,0.0351562,0,0,0,39
0,-1.12958,0.051511,0,0,0,0,0,40
0,-1.12958,-0.0523695,0,0.0351562,0,0,0,39
0,-1.12963,-0,0,0,0,0,0,39
0,-1.12958,0.0575206,0,-0.105469,0,0,0,40
